name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mouvement,liked
Steel Mirror,GUAN,0.797,0.748,11,-12.394,1,0.0506,0.000904,0.933,0.0617,0.0927,126.012,428691,4,0.5,1
Make The World Go Round - Deep Dish Radio Edit,Sandy B,0.74,0.923,0,-6.64,1,0.0605,0.0156,0.0397,0.0684,0.811,121.959,230933,4,0.8,1
Relax My Eyes,ANOTR,0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,192151,4,0.8,1
Tribal Orgasm,Bloque M,0.744,0.957,11,-3.056,0,0.0549,0.0054,0.233,0.195,0.468,123.997,389032,4,0.8,1
Maria Maria,TECH IT DEEP,0.747,0.657,0,-7.652,1,0.0912,0.0967,0.00497,0.278,0.397,128.037,161802,4,0.5,1
Express Yourself - Mochakk Remix,Diplo,0.902,0.541,1,-7.522,1,0.119,0.00233,0.945,0.0642,0.683,128.026,255000,4,0.5,1
El Bombo,Ewan McVicar,0.808,0.847,6,-6.788,0,0.0619,0.0115,0.863,0.16,0.82,129.998,240570,4,0.8,1
Hyperion,Atlantis Ocean,0.736,0.52,5,-8.974,0,0.0698,0.121,0.368,0.0706,0.442,126.987,476331,5,0.5,1
I Go - Soulwax Remix,Peggy Gou,0.734,0.763,8,-7.419,0,0.0494,0.0137,0.82,0.172,0.153,125.002,410880,4,0.5,1
Eau de chantè - For Men,Delicious Inc.,0.764,0.88,11,-7.467,0,0.0592,0.0103,0.649,0.082,0.675,123.887,456516,4,0.5,1
Altar,Dizzy Fae,0.743,0.871,8,-8.08,0,0.0398,0.174,0.164,0.111,0.822,114.966,206379,4,0.8,1
Can’t Fight The Feeling,Matroda,0.878,0.882,1,-4.143,0,0.223,0.00861,2.39e-05,0.201,0.64,125.98,171429,4,0.5,1
Gracias a la Vida - Victor Ruiz Remix,Tao Andra,0.63,0.837,0,-8.23,1,0.0458,0.0248,0.472,0.0838,0.106,135.006,385778,4,0.5,1
La Pasion,Matroda,0.851,0.812,8,-7.984,0,0.123,0.0435,0.442,0.12,0.497,125.969,187143,4,0.5,1
Jen High - Original Mix,Peggy Gou,0.81,0.926,8,-8.674,0,0.0493,0.0747,0.931,0.0736,0.823,121.813,387123,4,0.8,1
Wild & Free,Jay de Lys,0.802,0.748,7,-10.029,1,0.0547,0.00321,0.511,0.077,0.73,128.023,151875,4,0.5,1
La leçon particulière,Lavern,0.821,0.983,2,-5.786,0,0.0587,0.333,0.837,0.156,0.0629,126.018,154286,4,0.8,1
Vois sur ton chemin - Techno Mix,BENNETT,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4,0.5,1
I Miss You,GELO,0.72,0.498,0,-9.702,0,0.105,0.678,0.0,0.106,0.548,140.0,177670,4,0.5,1
Pasticche (feat. Capo Plaza),VillaBanks,0.725,0.781,8,-7.035,0,0.0611,0.0153,9.66e-06,0.0686,0.397,130.986,196742,4,0.5,1
SCAPPIAMO VIA,NDG,0.673,0.728,10,-3.987,0,0.0697,0.00322,0.0,0.0996,0.278,124.921,157446,4,0.5,1
Italian Hustler (feat. Rasty Kilo),Guè,0.662,0.77,2,-4.091,1,0.233,0.181,0.0,0.125,0.37,124.95,163214,5,0.5,1
LUNA PIENA (con IRAMA),Rkomi,0.722,0.841,1,-3.561,1,0.0545,0.405,0.0,0.0876,0.467,99.963,166984,4,0.5,1
LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),MACE,0.658,0.674,5,-6.848,0,0.0484,0.114,1.84e-05,0.147,0.164,129.914,237614,3,0.5,1
Topless,Geeno,0.709,0.618,9,-10.001,1,0.125,0.159,0.0,0.167,0.87,91.991,180063,4,0.8,1
Jungle,Rhove,0.779,0.841,11,-2.471,0,0.21,0.333,1.33e-06,0.305,0.742,141.09,184815,4,0.5,1
Seignosse,Rhove,0.919,0.591,10,-5.668,0,0.245,0.192,8.22e-06,0.1,0.159,104.959,176427,4,0.5,1
Shakerando,Rhove,0.855,0.805,7,-5.651,0,0.191,0.764,0.00708,0.302,0.469,135.009,195556,4,0.5,1
LAPROVINCE #1,Rhove,0.845,0.747,1,-6.239,1,0.197,0.224,1.63e-05,0.0694,0.51,105.871,158373,3,0.5,1
Notte gialla (feat. Madame),Emis Killa,0.657,0.707,11,-6.927,0,0.241,0.324,1.62e-06,0.516,0.529,83.991,191065,4,0.5,1
m%n,thasup,0.766,0.667,10,-4.668,0,0.053,0.522,0.0,0.0838,0.52,128.62,174364,4,0.5,1
KUMITE,Salmo,0.816,0.711,7,-4.45,0,0.121,0.0614,0.0,0.103,0.775,140.062,170018,4,0.5,1
Aston Martin (feat. Headie One),Shiva,0.878,0.793,2,-4.46,1,0.303,0.0629,0.0,0.227,0.691,139.853,168000,4,0.5,1
Il Doc 2 (feat. Tony Effe & Guè),VillaBanks,0.728,0.621,11,-7.699,0,0.195,0.0187,0.0,0.116,0.467,93.94,174983,4,0.5,1
Pensando a lei,Shiva,0.79,0.68,1,-6.787,1,0.223,0.0551,0.0,0.0761,0.61,143.046,176245,4,0.5,1
CREATUR (feat. Geolier & Ernia),Sick Luke,0.751,0.53,2,-7.518,1,0.143,0.535,9.23e-05,0.0698,0.174,95.045,191627,4,0.5,1
SOLITE PARE (feat. thasup & Sfera Ebbasta),Sick Luke,0.66,0.79,9,-4.344,0,0.0537,0.282,0.0,0.299,0.556,111.071,211660,3,0.5,1
Finché Non Mi Seppelliscono,BLANCO,0.727,0.833,4,-2.594,1,0.0316,0.349,0.0,0.232,0.86,130.024,168000,4,0.8,1
Ladro Di Fiori,BLANCO,0.596,0.763,1,-5.367,0,0.0703,0.37,0.0,0.483,0.606,96.189,188125,4,0.5,1
∞ LOVE (feat. Guè),Marracash,0.726,0.828,7,-5.191,0,0.071,0.105,0.0,0.0873,0.307,125.002,218368,4,0.5,1
CRAZY LOVE,Marracash,0.725,0.713,9,-5.958,0,0.0484,0.224,2.13e-05,0.104,0.392,123.003,192688,4,0.5,1
Una Lacrima (feat. Sfera Ebbasta),Irama,0.698,0.814,1,-4.686,1,0.0338,0.0405,0.0,0.253,0.443,102.986,173301,4,0.5,1
RS,Bené,0.774,0.765,7,-4.489,0,0.122,0.381,0.0,0.111,0.338,109.99,214727,4,0.5,1
Brividi,Mahmood,0.523,0.614,7,-4.435,1,0.0347,0.448,0.0,0.254,0.342,122.962,199146,4,0.5,1
TÊTE (feat. Medy & VillaBanks),AVA,0.588,0.744,1,-3.927,0,0.324,0.0153,0.0,0.0743,0.55,130.066,180905,4,0.5,1
EGO,Icy Subzero,0.607,0.877,3,-5.452,0,0.177,0.0285,0.0,0.346,0.456,125.025,171839,4,0.5,1
Capri Sun,Capo Plaza,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,199680,4,0.5,1
s!r! (feat. Lazza & Sfera Ebbasta),thasup,0.675,0.739,6,-4.603,0,0.0524,0.387,0.0,0.177,0.338,149.959,237701,4,0.5,1
USCITO DI GALERA,Lazza,0.594,0.746,7,-5.853,0,0.137,0.188,0.0,0.0991,0.0802,164.231,172654,4,0.5,1
PIOVE (feat. Sfera Ebbasta),Lazza,0.381,0.627,4,-5.446,0,0.114,0.232,0.0,0.0803,0.458,187.835,155863,5,0.5,1
Mamma Mia,Sfera Ebbasta,0.762,0.609,8,-5.934,0,0.0369,0.042,2.78e-06,0.25,0.266,99.971,166796,4,0.5,1
3 DI CUORI (feat. Lazza),ANNA,0.465,0.844,5,-4.355,0,0.203,0.174,0.0,0.173,0.581,100.122,177600,4,0.5,1
Téléphone,Booba,0.813,0.528,7,-5.659,0,0.0315,0.131,0.0,0.203,0.276,112.016,212035,4,0.5,1
Easy (feat. Fivio Foreign),Sfera Ebbasta,0.738,0.681,8,-6.313,0,0.163,0.189,0.0,0.0983,0.546,144.926,206102,4,0.5,1
Italiano Anthem,Sfera Ebbasta,0.555,0.613,4,-6.746,0,0.0368,0.0619,0.0,0.198,0.0988,131.922,135935,4,0.5,1
Le Pietre Non Volano (feat. Marracash),Luchè,0.414,0.617,8,-7.998,1,0.0652,0.0512,2e-06,0.135,0.279,80.539,299061,4,0.5,1
Pornstar (feat. Sfera Ebbasta),Gemitaiz,0.792,0.568,0,-6.197,0,0.0342,0.00803,1.41e-05,0.228,0.183,100.002,237266,4,0.5,1
GASOLINA,ANNA,0.713,0.862,2,-2.9,1,0.0423,0.0695,3.95e-06,0.0847,0.691,130.139,145846,4,0.5,1
Hace Calor - Remix,Kaleb Di Masi,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,247385,4,0.5,1
TOPBOY (feat. Noyz Narcos),Lazza,0.72,0.788,9,-6.637,0,0.281,0.215,0.0,0.105,0.282,93.331,206494,4,0.5,1
when the party's over,Billie Eilish,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,0.2,0
Train Wreck,James Arthur,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,0.5,0
hostage,Billie Eilish,0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,229426,5,0.2,0
Elk Grove,David Kushner,0.324,0.217,0,-12.606,1,0.0315,0.959,0.00539,0.124,0.0984,116.583,215712,4,0.2,0
making the bed,Olivia Rodrigo,0.537,0.413,7,-7.736,1,0.0319,0.346,0.0,0.12,0.226,133.21,198867,4,0.5,0
logical,Olivia Rodrigo,0.499,0.246,7,-8.082,1,0.0345,0.853,0.0,0.1,0.153,81.051,231907,4,0.2,0
the grudge,Olivia Rodrigo,0.548,0.307,10,-9.214,1,0.0781,0.916,0.0,0.0828,0.317,127.923,189386,4,0.5,0
Your Power,Billie Eilish,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897,4,0.5,0
Everybody Dies,Billie Eilish,0.275,0.155,7,-17.285,0,0.0674,0.928,0.176,0.0888,0.0588,65.136,206623,3,0.2,0
Male Fantasy,Billie Eilish,0.687,0.288,2,-10.415,1,0.045,0.863,0.0,0.0986,0.308,110.927,194887,4,0.5,0
Ontario,Novo Amor,0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,192867,4,0.2,0
Impossible,James Arthur,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,0.5,0
Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,0.5,0
lovely (with Khalid),Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,0.2,0
Jacob and the Stone,Emile Mosseri,0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,98560,4,0.2,0
favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4,0.5,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,0.2,0
listen before i go,Billie Eilish,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3,0.2,0
i love you,Billie Eilish,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,0.2,0
Broken,Isak Danielson,0.434,0.637,5,-6.85,0,0.0613,0.451,0.0,0.112,0.1,141.869,216338,4,0.5,0
Get Down - Acoustic,James Arthur,0.406,0.485,4,-5.427,0,0.036,0.734,0.0,0.102,0.558,121.351,250840,5,0.5,0
You're Nobody 'Til Somebody Loves You - Acoustic,James Arthur,0.55,0.808,10,-5.541,0,0.378,0.24,0.0,0.076,0.896,159.889,191013,4,0.8,0
Emergency,James Arthur,0.614,0.663,11,-6.119,0,0.0499,0.00552,0.0,0.189,0.435,86.98,247813,4,0.5,0
The Funeral,Band of Horses,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,321147,4,0.5,0
Re: Stacks,Bon Iver,0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.053,401413,4,0.5,0
Berlin,RY X,0.396,0.0695,7,-20.337,1,0.0399,0.967,0.105,0.0996,0.0391,137.149,170551,4,0.2,0
To Build A Home,The Cinematic Orchestra,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,370667,4,0.2,0
Hallelujah,Jeff Buckley,0.339,0.143,0,-10.78,1,0.0317,0.921,0.000636,0.372,0.0948,101.213,413320,3,0.2,0
Isaac,Bear's Den,0.734,0.387,8,-11.821,0,0.0345,0.818,1.08e-05,0.123,0.213,130.04,239600,4,0.5,0
FIGURES,Jessie Reyez,0.6,0.139,7,-8.975,1,0.0464,0.811,9.5e-06,0.0918,0.256,171.041,240907,3,0.5,0
The Blower's Daughter,Damien Rice,0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,286653,4,0.2,0
Mad World,Gary Jules,0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,189507,4,0.5,0
Un homme heureux,William Sheller,0.478,0.856,0,-20.677,0,0.603,0.865,7.34e-05,0.272,0.575,116.969,292800,4,0.5,0
Don't You Remember,Adele,0.64,0.395,3,-5.689,1,0.0307,0.206,0.0,0.0935,0.235,115.082,243200,4,0.5,0
Can't Help Falling In Love (Recorded Live at Daytrotter),Ingrid Michaelson,0.315,0.151,0,-11.737,1,0.0322,0.928,0.014,0.086,0.253,141.178,194027,4,0.5,0
Mama Says,Ibeyi,0.861,0.215,0,-14.439,0,0.115,0.597,0.00105,0.137,0.144,119.932,249400,4,0.2,0
Retrograde,James Blake,0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503,223600,4,0.2,0
Stay,Rihanna,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4,0.5,0
I'm Kissing You,Des'ree,0.224,0.294,9,-14.434,0,0.0402,0.911,0.0133,0.105,0.0711,82.428,293573,5,0.2,0
La chanson des vieux amants,Jacques Brel,0.397,0.2,0,-14.119,0,0.0287,0.826,0.000454,0.164,0.228,90.211,267467,4,0.5,0
Youth,Daughter,0.589,0.477,9,-12.71,0,0.0493,0.608,0.00188,0.122,0.488,150.399,251627,4,0.8,0
Freedom (#1),MØ,0.359,0.271,7,-8.988,0,0.032,0.955,0.00144,0.16,0.143,130.874,249533,5,0.2,0
Varðeldur,Sigur Rós,0.375,0.234,11,-13.507,0,0.0325,0.936,0.89,0.141,0.0368,98.063,367773,3,0.2,0
(No One Knows Me) Like the Piano,Sampha,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,0.178,128.905,218160,4,0.2,0
Whirlwind,Halehan,0.73,0.189,11,-11.111,0,0.0349,0.848,0.0,0.119,0.177,111.066,241093,4,0.2,0
Frida,Thos Henley,0.607,0.23,7,-8.979,1,0.0299,0.8,0.000124,0.119,0.357,78.957,212547,4,0.5,0
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,286293,4,0.5,0
Indigo Night,Tamino,0.486,0.148,3,-15.237,0,0.0345,0.953,0.000121,0.117,0.124,117.676,254867,4,0.2,0
